App,Category,Rating,Reviews,Installs,Price
Garden Fruit Legend,FAMILY,4,4289,500000,0.0
BlackJack 21 Pro,GAME,4,26744,500000,0.0
EO Network,BUSINESS,3,13,1000,0.0
Sayers AH,MEDICAL,1,2,50,0.0
BD All Results,FAMILY,4,205,50000,0.0
dB Sound Level Meter,TOOLS,3,203,10000,0.0
My OldBoy! Free - GBC Emulator,GAME,4,51787,5000000,0.0
ZOMBIE RIPPER,GAME,3,16073,500000,0.0
BkEmu - BK-0010/11M emulator,FAMILY,4,222,10000,0.0
Block Puzzle,GAME,4,59800,5000000,0.0
POLARIS 2MFG,FAMILY,4,1228,10000,0.0
Pyaar Ek Dhoka,FAMILY,5,18,50,0.0
30WPM Amateur ham radio Koch CW Morse code trainer,FAMILY,5,1,10,1.49
Pocket Mortys,FAMILY,4,174215,10000000,0.0
Sweet Baby Girl Newborn Baby,FAMILY,3,36028,5000000,0.0
Draw with FP sDraw,TOOLS,4,3268,100000,0.0
iFORA BP,MEDICAL,3,18,1000,0.0
A Call From Santa Claus!,FAMILY,3,3720,1000000,0.0
The Visitor: Ep.1 - Kitty Cat Carnage,GAME,4,3017,500000,0.0
B-L Animal Hospital,MEDICAL,1,1,100,0.0
CURSUM B,GAME,4,30,500,0.99
City Builder 2016: County Mall,FAMILY,4,41693,1000000,0.0
F-Secure KEY Password manager,TOOLS,4,2588,100000,0.0
"CM Security Open VPN - Free, fast unlimited proxy",TOOLS,4,85496,1000000,0.0
"C Programming - Learn Code, Theory & Discuss",FAMILY,4,2751,100000,0.0
San Andreas Crime Stories,GAME,4,162530,10000000,0.0
Draw Color by Number - Sandbox Pixel Art,FAMILY,4,34279,1000000,0.0
Q,FAMILY,4,69126,1000000,0.0
FlashLight F.Light,TOOLS,4,3943,100000,0.0
Piano Kids - Music & Songs,FAMILY,4,46741,10000000,0.0
Limbo PC Emulator QEMU ARM x86,TOOLS,4,13005,1000000,0.0
DS-82 form,BUSINESS,1,1,100,0.0
Dead Target Zombie Shooting US Sniper Killer Squad,GAME,4,240,50000,0.0
Bubble Shooter,GAME,4,148897,10000000,0.0
Jaylex,MEDICAL,0,0,10,0.0
Woodman Deluxe,GAME,4,82,5000,0.0
Cooking Madness - A Chef's Restaurant Games,GAME,4,358817,10000000,0.0
An Elite Warrior Ex,GAME,4,15,100,0.99
Fishdom,GAME,4,2157930,10000000,0.0
Hill Climb Racing,GAME,4,8921451,100000000,0.0
Universal AC Remote Control Simulator,FAMILY,3,119,50000,0.0
Nightenfell: Shared AR,GAME,4,20,1000,0.99
Assemblr - Create 3D Models (Sandbox AR),FAMILY,3,1745,1000000,0.0
COOKING MAMA Let's Cook!,FAMILY,4,528917,10000000,0.0
Unit Converter,TOOLS,4,85387,1000000,0.0
OMG Gross Zit - Date Nightmare,FAMILY,3,70105,10000000,0.0
Drawing for Kids Learning Games for Toddlers age 3,FAMILY,4,29436,1000000,0.0
Weapon stripping 3D,FAMILY,4,23971,1000000,0.0
WPBS-DT,FAMILY,5,3,500,0.0
Summer Camp Island AR,FAMILY,3,740,50000,0.0
GALAK-Z: Variant Mobile,GAME,3,145,10000,0.0
CN Resident,FAMILY,5,1,100,0.0
Cr Aviation Academy,FAMILY,5,7,100,0.0
TETRIS Blitz,FAMILY,4,201631,5000000,0.0
R. Physics Puzzle Game,FAMILY,4,5369,500000,0.0
Luxury Car Simulator,FAMILY,3,35989,1000000,0.0
AJ Rafael Music Lessons,FAMILY,5,1,10,0.0
